Body1,Body2,Body1_Mass,Body2_Mass,Distance,Body1_KineticEnergy,Body2_KineticEnergy,PotentialEnergy,TotalOrbitalEnergy,SimTime
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.695879e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.617000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.765942e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.618000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.836662e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.619000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.908040e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.620000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.980076e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.621000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.052770e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.622000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.126122e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.623000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.200132e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.624000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.274800e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.625000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.350125e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.626000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.426108e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.627000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.502749e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.628000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.580048e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.629000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.658005e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.630000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.736620e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.631000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.815893e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.632000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.895823e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.633000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.976411e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.634000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.057658e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.635000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.139562e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.636000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.222124e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.637000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.305343e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.638000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.389221e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.639000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.473757e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.640000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.558950e+19,9.185003e+27,-7.619234e+28,-6.700734e+28,9.641000e+03
